

"Cable Connection Report"
"Save Time: 2013/08/26 09:34:40"
"User Name:admin"
""

"Total 605 Records"

"Name","Level/Capacity","Rate (bit/s)","Direction","Source NE","Source Port","Sink NE","Sink Port","Length (km)","Designed Attenuation(EOL)","Fiber/Cable Type","Medium Type","Creation Time","Creator","Maintainer","Remarks","Alarm Severity","Disabled Status","Alarm Generation Time"
f-9,STM-16,--,Two-Fiber Bidirectional,8044_MKM-008_H,5-N3SL16-1(SDH-1),MKM-008,9-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/15 01:36:00,admin,admin,-,Normal,Enable,-
f-10,STM-16,--,Two-Fiber Bidirectional,8044_MKM-008_H,14-N3SL16-1(SDH-1),MKM-008,10-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/15 01:36:12,admin,admin,-,Normal,Enable,-
f-11,10GE_WAN,--,Two-Fiber Bidirectional,8044_MKM-008_H,8-N2PEX1-1(PORT-1),8045_MKM_007_H,11-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/16 00:00:27,admin,admin,-,Normal,Enable,-
f-12,10GE_WAN,--,Two-Fiber Bidirectional,8045_MKM_007_H,12-N2PEX1-1(PORT-1),8044_MKM-008_H,7-N2PEX1-1(Port-1),1.0,0.0,Fiber,G.652,2013/01/16 00:00:49,admin,admin,-,Normal,Enable,-
f-4,STM-16,--,Two-Fiber Bidirectional,8045_MKM_007_H,13-N3SL16-1(SDH-1),8044_MKM-008_H,6-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/17 00:24:11,admin,admin,-,Normal,Enable,-
f-5,STM-16,--,Two-Fiber Bidirectional,8045_MKM_007_H,14-N3SL16-1(SDH-1),MKM-007,10-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/17 00:24:33,admin,admin,-,Normal,Enable,-
f-6,STM-16,--,Two-Fiber Bidirectional,MKM-007,9-S16-1(SDH-1),8045_MKM_007_H,5-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/17 00:24:49,admin,admin,Patch-cord เชื่อม,Normal,Enable,-
f-7,10GE_WAN,--,Two-Fiber Bidirectional,8029_KKN-015_H,12-N2PEX1-1(PORT-1),8045_MKM_007_H,7-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/18 00:46:11,admin,admin,"use core No.3,4 ( project kk-sarakam- ubon 24 core) distance 58 Km",Normal,Enable,-
f-8,10GE_WAN,--,Two-Fiber Bidirectional,8029_KKN-015_H,11-N2PEX1-1(PORT-1),8045_MKM_007_H,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/18 00:46:39,admin,admin,"use core No.3,4 ( project kk-sarakam- ubon 24 core) Distance 58 Km.",Normal,Enable,-
f-22,STM-16,--,Two-Fiber Bidirectional,8029_KKN-015_H,4-N3SL16-1(SDH-1),KKN-015,5-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/18 01:39:26,admin,admin,patch coard  5 th floor,Normal,Enable,-
f-23,STM-16,--,Two-Fiber Bidirectional,KKN-015,6-S16-1(SDH-1),8029_KKN-015_H,14-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/18 01:39:48,admin,admin,patch coard  5 th floor,Normal,Enable,-
f-24,STM-16,--,Two-Fiber Bidirectional,8029_KKN-015_H,13-N3SL16-1(SDH-1),8045_MKM_007_H,6-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/18 01:40:03,admin,admin,"use core No.3,4 ( project kk-sarakam-ubon 24 core)",Normal,Enable,-
f-2,STM-16,--,Two-Fiber Bidirectional,8031-KKN-026_H,12-N3SL16-1(SDH-1),8029_KKN-015_H,6-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/19 00:58:37,admin,admin,"use core No.3,4 (project kk-ud 2000Km 24 core )",Normal,Enable,-
f-4,STM-16,--,Two-Fiber Bidirectional,8031-KKN-026_H,13-N3SL16-1(SDH-1),KKN-026_HSPA,10-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/19 01:05:28,admin,admin,patch cord,Normal,Enable,-
f-6,STM-16,--,Two-Fiber Bidirectional,8031-KKN-026_H,6-N3SL16-1(SDH-1),KKN-026_HSPA,9-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/19 01:08:18,admin,admin,patch coard,Normal,Enable,-
f-9,10GE_WAN,--,Two-Fiber Bidirectional,8031-KKN-026_H,11-N2PEX1-1(PORT-1),8029_KKN-015_H,7-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/19 01:19:43,admin,admin,"use core No.3,4 (project kk-ud 2000Km 24 core ) BJ core No.1,2,3,4 ( project CDMA BJ )",Normal,Enable,-
f-4,STM-16,--,Two-Fiber Bidirectional,8032-UDN-004_H,12-N3SL16-1(SDH-1),8031-KKN-026_H,7-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/20 02:13:18,admin,admin,-,Normal,Enable,-
f-6,STM-16,--,Two-Fiber Bidirectional,UDN-004_HSPA,9-S16-1(UDN006),8032-UDN-004_H,6-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/20 02:13:54,admin,admin,-,Normal,Enable,-
f-7,STM-16,--,Two-Fiber Bidirectional,UDN-004_HSPA,10-S16-1(SDH-1),8032-UDN-004_H,13-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/20 02:14:08,admin,admin,-,Normal,Enable,-
f-10,10GE_WAN,--,Two-Fiber Bidirectional,8033-UDN-006_H,11-N2PEX1-1(PORT-1),8032-UDN-004_H,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/20 14:57:00,admin,admin,-,Normal,Enable,-
f-7,STM-16,--,Two-Fiber Bidirectional,8033-UDN-006_H,12-N3SL16-1(SDH-1),8032-UDN-004_H,7-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/21 00:10:47,admin,admin,-,Normal,Enable,-
